,Ptms,Actg1,Col6a3,Lrig1,Celf2,Ddr2,Flna,Cald1,Cnn2,Emilin3,Tes,Rgmb,Cdo1,Nrp2,Acta2,Tpm2,Foxp2,Sparcl1,Actg2,Tagln,Crispld2,Psd,Tnc,Myh11,Gfra1,Mylk,Hhip,Ckb,Cnn1,Dmpk,Aldh1a1,Pde5a,Anxa6,Col1a1,Igfbp4,Kctd12,Mfap4,Dlk1,Tmtc2,Ptn,Basp1,Ptprs,Col3a1,Meis2,Auts2,Lrig3,Meis1,Hist1h2ap,Hist1h1b,Hist1h1a,Hist1h2ae,Sh3bgrl,H1fx,Lsp1,Pcdh18,Emilin1,Col1a2,Col6a2,Foxf1,Foxf2,Pgm5,Nkx6-1,Osr1,Gpc3,Gucy1a1,Zfp703,Ltbp4,Cacng7,Bnc2,Col6a1,Fbln1,Iqgap2,Itm2a,Ptk7,Islr,Cd63,Vcan,Robo1,Slitrk6,Col5a1,Dab2,Cdh11,Hic1,Lrp1,H2afy2,Efemp1,Sema3a,Arap1,Tcf21,Dcn,Igf1,Ptch1,Igfbp7,Col6a5,Thbs4,Lox,Pkdcc,Nr2f2,Penk,Snai2
Col1a2,3848.786,3880.1714,3796.5059,3743.2925,3706.7234,3815.8025,3766.726,3715.3967,3722.3691,3851.4268,3597.4414,3650.8357,3828.3792,3678.4277,3624.2896,3653.367,3722.4055,3757.344,3567.0242,3560.611,3714.7402,3590.8833,3601.3928,3529.132,3393.6064,3597.3958,3710.5488,3495.1116,3523.7112,3540.7014,3554.2974,3904.5767,3873.4495,3956.4705,3920.5242,3878.544,4096.4146,4011.5894,3900.9568,3919.4197,3873.1338,3884.627,3989.0696,4007.2615,3797.775,3910.3816,3841.7356,3886.2212,3889.168,3944.0596,3966.1157,3977.701,3843.5354,3906.7441,4037.9343,3879.369,0.0,4069.7717,3993.562,3993.2615,3971.1902,4056.0195,4094.5518,4053.7664,4035.16,4066.4863,4026.1677,4019.6667,4004.2944,4088.2703,3969.833,4045.9802,4072.69,4087.7864,4067.5251,4121.6694,4047.6653,4057.5757,4008.2505,4096.842,4052.752,4140.5044,4192.436,4160.432,4064.9844,4178.086,4147.64,4223.329,4217.838,4327.688,4327.2876,4255.2515,4376.8115,4367.156,4289.2725,4430.921,4297.4526,4293.565,4532.4893,4418.861
Col6a2,3913.0422,3857.1572,3988.4092,3867.9673,3890.8633,3979.792,3870.5632,3856.2427,3965.597,4082.9976,3657.1428,3725.6892,3993.149,3648.6477,3710.8545,3704.0156,3805.6294,4016.988,3635.73,3675.6885,3869.996,3999.9714,3959.5398,3666.8098,3611.01,3756.8533,3624.5737,3634.2544,3656.0378,3705.3538,3632.6956,3947.0054,3863.8916,3983.663,3849.417,3939.7493,4303.7754,4108.8423,3956.5127,3981.6982,3961.789,3970.3303,3990.7256,4086.3594,3792.8967,4030.8252,3805.4795,3777.3975,3868.1108,4042.2107,3839.5498,4042.4155,3939.9443,3991.3564,4146.1475,4004.6216,4069.7717,0.0,4056.1555,4334.3887,4084.2117,4298.4067,4284.9565,4166.4126,4159.159,4129.29,4193.7554,4033.9707,4364.731,4188.2954,4106.6694,4192.2163,4154.0127,4159.133,4232.0166,4159.2114,4138.885,4132.649,3941.5176,4207.823,4160.594,4098.862,4228.367,4136.0996,4174.4136,4017.4307,4280.3467,4286.383,4464.0854,4326.9746,4566.002,4253.038,4314.5054,4198.6274,4355.3096,4460.297,4303.924,4230.701,4729.9146,4338.233
Foxf1,3951.9648,3972.0288,3830.7485,4026.6858,3964.985,4073.1665,3983.3108,3983.6328,4182.3604,4163.194,3829.5442,4076.999,3769.3933,3760.8892,3828.9438,3877.1733,4069.3865,4267.745,3836.5447,3807.439,3881.244,3883.4375,4014.5168,3788.9438,3758.1445,3807.2932,4410.3223,3969.3562,3954.1045,3994.12,4389.8267,4015.0608,4015.8447,3912.6597,3926.1436,3687.85,3997.4614,3709.6206,3866.3625,4003.3574,3872.5298,3954.6084,3967.698,4245.3115,4014.6016,4438.6084,3941.6914,4026.5144,3969.1362,4013.6187,3941.0564,4080.3428,3814.0635,4125.909,4080.2163,4272.552,3993.562,4056.1555,0.0,4609.5127,4132.6597,4527.071,4276.7065,4077.513,4086.3445,4382.557,4152.0024,4202.9976,4175.6655,4122.9927,4050.7761,4075.291,4031.3445,4141.1562,4016.6128,3959.21,4077.2456,4120.1445,3999.7998,4207.229,4311.253,4291.8086,4121.5234,4357.2695,4258.3003,4133.6743,4554.9346,4267.6235,4313.496,4292.2124,4412.744,4681.8535,4474.3574,4445.625,4451.609,4379.6626,4480.4434,4224.847,4824.921,4636.484
Foxf2,4007.7908,3809.5247,3988.831,4491.8496,4196.8374,3995.0454,4086.7,4147.164,3973.3528,4558.4346,4035.6965,3951.27,3701.5398,4037.8452,3945.973,3989.5068,4206.165,4082.6628,4074.7778,3956.4382,4123.301,4282.666,3855.2024,3982.7231,3601.6733,4290.7524,4603.61,4585.2354,4372.7217,4614.954,5286.0273,3983.918,4223.05,3862.5996,4034.3271,3665.811,4308.4775,3748.932,3572.1873,3632.5454,3869.315,4231.5083,3938.9482,4167.102,3812.6367,4036.4436,3741.4614,3910.916,3854.4243,3774.3318,4074.9075,4174.8945,3985.066,4178.08,4042.083,3819.6655,3993.2615,4334.3887,4609.5127,0.0,4321.392,4254.319,4278.0566,4094.7693,4080.0461,3865.6475,4069.1106,3628.8477,4287.7974,3946.3174,4285.5015,3899.7844,3918.8037,4061.1914,4268.19,4327.805,4253.29,4355.1865,3725.781,4131.4346,3770.7698,4334.4717,3983.1658,4518.4688,4056.4895,4188.5767,5022.163,3747.5706,4394.8926,4211.076,3672.5723,4683.5586,4292.4873,3683.9932,4330.2905,3998.3523,4145.2964,4369.3843,4710.5312,4422.412
Pgm5,3920.0527,3908.755,3807.0247,3875.5508,4175.6216,4029.4062,3905.3098,3923.5134,4125.483,4135.2993,4128.9546,4025.482,4139.8657,4066.6035,3863.5889,3916.1082,3984.0618,4079.4543,3791.3594,3909.2085,4350.2993,3988.8284,3997.3027,3875.8413,3775.415,4029.6602,4357.7764,3891.149,3974.394,4339.8965,4327.9688,4130.6553,4103.035,3922.4727,3901.117,3854.2878,4276.4155,4085.9995,4348.1914,4140.297,3833.0598,4069.7407,3937.6748,4135.512,3945.4314,4069.4695,4314.5034,3941.713,4069.6846,4144.5913,3965.4739,4212.665,4193.0137,4041.584,4265.9775,3950.6738,3971.1902,4084.2117,4132.6597,4321.392,0.0,4443.562,4482.384,4024.3682,4013.2754,4093.013,4066.8193,4056.956,4154.479,4121.232,4029.4475,4213.446,4078.5017,4180.8657,4250.4937,4258.5825,4041.241,4181.781,3801.3406,4004.5376,4246.0913,4019.9182,4014.1213,4150.173,4213.5254,4047.1147,4452.886,4038.428,4584.918,4114.072,4378.991,4113.789,4253.024,4118.7354,4087.4275,4198.4395,4295.2554,4166.022,4178.76,3883.3591
Nkx6-1,3979.687,3941.7864,4033.4048,3642.204,3966.4946,4008.3555,3934.9001,3959.8486,3884.2031,3900.2952,4157.362,3703.3994,4049.4458,3420.493,3803.7263,3963.5962,4194.5874,4017.3882,3825.5898,3890.7822,4457.995,4196.5938,4020.8284,3876.2808,3728.6265,4021.7998,3646.5776,4068.0405,4122.947,4278.4736,3477.749,3989.9417,4121.5664,3974.7173,3969.5146,3828.1506,4236.3857,3785.5383,3930.4321,4026.0073,3900.8567,3940.7383,3955.42,4081.0588,3688.3252,4256.218,4189.74,4085.8083,3942.5835,4146.612,4244.775,3631.3357,3575.9832,4297.681,4147.95,4305.6587,4056.0195,4298.4067,4527.071,4254.319,4443.562,0.0,4974.8525,4149.167,3714.859,3823.8027,4366.4126,3634.7192,4460.6978,4080.9092,4011.9507,4115.338,4071.658,4173.172,4396.372,4086.2231,4239.1074,4165.736,3937.1223,4240.254,4156.092,3944.6895,4497.0464,4334.0767,4189.3613,3913.959,4363.578,3992.5764,4435.6035,4201.1055,3860.7383,4137.4146,4286.583,4650.344,4373.467,4218.5645,4366.494,4249.725,4156.6533,3951.7866
Osr1,4020.6726,4059.132,4015.9429,3493.5134,3959.644,3976.154,3754.8513,3874.883,3667.3152,3934.8228,4009.967,3764.5764,3989.9697,3639.3525,3635.6667,3702.6797,3681.7085,4013.4285,3626.595,3560.4756,3865.9724,3569.1045,3553.246,3564.216,3289.5444,3637.6155,3642.2876,3562.0837,3895.3716,3796.5244,3334.4656,3915.5693,3961.6655,4032.3513,3992.2192,3800.9644,4185.142,4158.76,4173.294,4125.597,4136.418,3989.6592,4020.4146,4559.9404,4313.931,4155.576,4094.775,4080.188,4049.8857,4207.441,4422.075,4126.8145,4064.5757,4172.194,4226.838,3859.667,4094.5518,4284.9565,4276.7065,4278.0566,4482.384,4974.8525,0.0,4238.142,4055.6882,4547.331,4125.1685,4436.926,4169.675,4469.3945,4464.9863,4335.023,4261.2666,4669.343,4628.2783,4220.978,4463.785,4607.294,4129.033,4555.774,4029.984,4532.347,4872.0093,4292.613,4236.2866,4180.0234,4634.6904,4354.6367,4852.722,4479.8506,4745.061,4598.1626,4529.6055,4618.046,4400.2783,4552.9863,4561.2173,4440.4565,5095.155,4264.771
Gpc3,3876.9834,3875.8296,3808.1665,3916.1653,3867.4487,3960.5786,3825.079,3728.6418,3846.6384,4000.878,3567.9587,3828.7861,3929.063,3635.6975,3639.4863,3663.5679,3658.6345,3877.9224,3571.995,3560.818,3669.3115,3766.2046,3612.4062,3523.7278,3456.0002,3678.3943,3691.219,3666.1987,3566.5522,3730.4897,3742.9324,4006.8218,3966.0747,3968.4329,4002.608,3943.2217,4163.5327,3937.8887,3954.3188,3931.7656,3979.15,4016.4912,3992.083,4081.9304,3993.1978,4003.1782,3847.4373,3961.8428,3993.0864,4060.9233,4226.872,3984.1055,3935.824,4073.8745,4074.1719,4127.006,4053.7664,4166.4126,4077.513,4094.7693,4024.3682,4149.167,4238.142,0.0,4079.5256,4018.2444,4135.6914,3966.491,4133.858,4226.2495,4052.6245,4042.851,4096.856,4256.2188,4146.4854,4198.2725,4147.7476,4169.9023,4081.1006,4216.1743,4134.983,4128.28,4274.115,4119.5728,4213.1006,4180.5435,4343.064,4213.84,4260.672,4366.577,4234.7915,4397.189,4611.5586,4455.633,4386.744,4442.084,4334.502,4342.9893,4659.252,4509.273
Gucy1a1,3853.4697,3879.8716,3825.7166,3768.1182,3931.7073,3773.9277,3750.275,3745.2944,3726.8027,3902.6418,3813.9863,3670.9385,4172.0527,3801.1797,3665.486,3737.418,3779.3816,3931.5737,3706.6511,3547.5806,3383.493,3831.2114,3505.2075,3504.2761,3400.677,3532.3386,3810.0427,3691.0205,3639.3308,3579.1394,4011.8887,4015.873,4029.0508,3921.091,4079.3313,4258.166,4150.8286,4205.6772,3995.4019,4072.3687,4167.72,4067.1255,3997.7168,4104.978,3766.337,3887.6533,3785.16,3892.6094,4033.2866,4018.4211,4276.05,3998.1794,3906.793,3989.2742,4245.352,3951.0522,4035.16,4159.159,4086.3445,4080.0461,4013.2754,3714.859,4055.6882,4079.5256,0.0,4459.5327,4198.0283,4415.6846,4096.0454,4146.99,4215.547,4140.3467,4217.45,4208.7236,4321.7324,4280.9136,4249.899,4070.4275,4098.4575,4318.9263,4281.8096,4239.0044,4410.984,4193.2065,4105.952,4331.893,4217.2812,4292.813,4489.9927,4533.884,4075.5974,4296.4526,4486.125,4660.5874,4496.646,4356.243,4227.8237,4424.171,4488.8076,4719.9116
Zfp703,3888.0303,4112.5137,3961.4111,3570.2446,3950.645,3984.4873,3841.74,3784.6562,3848.0728,3935.1084,3828.8738,3770.6658,4020.5286,3802.9507,3715.5288,3689.1853,4215.842,4169.5312,3731.5938,3634.4321,3604.2012,3484.3555,3626.9832,3728.862,3975.6145,3737.3044,3404.0059,4001.8352,3799.498,3816.123,3679.8765,4001.9148,3955.1616,3910.649,3966.9592,4002.2876,4140.5244,3905.2917,4001.375,4181.444,3840.1309,3973.247,3951.991,3985.8318,3737.8865,4144.4756,3912.359,4004.25,3912.3887,4234.9824,4486.851,4166.9683,3768.0686,4132.753,4328.253,4147.842,4066.4863,4129.29,4382.557,3865.6475,4093.013,3823.8027,4547.331,4018.2444,4459.5327,0.0,4434.4736,4485.446,4261.0815,4248.6377,4244.173,4116.6587,4210.5693,4023.8596,3857.5044,4364.2754,4163.2524,4188.8335,4177.355,4504.852,4222.664,4189.5283,4142.675,4261.818,4112.296,4093.5142,4281.1123,4426.311,4195.0293,4347.267,4337.3496,4161.0703,4289.9062,4449.9043,4371.005,4211.98,4264.6772,4525.1367,4419.8203,4454.17
Ltbp4,4051.02,3751.5964,3821.3442,4132.5923,3660.5159,3960.6702,3963.4504,3772.6582,3765.7537,4229.235,3501.3232,4034.6692,3806.4749,3764.111,3742.3093,3736.0635,4112.801,3828.021,3678.6396,3790.777,3982.8699,3959.2964,3752.7996,3779.8535,3402.472,3852.584,4349.4277,3650.4485,3845.5906,3984.5034,4502.839,4031.1304,3904.8105,3980.8125,3915.887,3641.4812,3940.5803,4197.4385,3914.0806,3741.7637,3861.8499,4054.3271,3995.8186,4264.744,3941.9048,4192.0513,4129.291,3810.819,4135.8345,3947.1267,4227.637,4139.323,3718.7231,3991.2744,4067.0935,4278.8066,4026.1677,4193.7554,4152.0024,4069.1106,4066.8193,4366.4126,4125.1685,4135.6914,4198.0283,4434.4736,0.0,4295.9814,4480.126,4216.003,4112.0127,4029.1296,4101.823,4080.6921,4180.839,4118.809,4104.1353,4340.5396,3995.7969,4348.8755,4279.7534,4282.482,4325.1475,4254.2954,4490.963,4297.72,4482.279,4359.7603,4583.715,4409.14,4148.504,4567.49,4462.6655,4759.591,4521.4844,4480.7734,4437.9316,4155.5156,4685.812,4556.813
Cacng7,3746.1406,4007.2107,3821.1245,4217.1343,3851.7275,3785.33,3623.3633,3562.4688,3826.8538,3844.3071,3493.8809,3607.5623,4031.3147,3367.5173,3497.5125,3576.6072,3771.3267,3752.186,3550.8174,3316.091,3388.9097,3602.5898,3208.4495,3374.2188,3511.5222,3460.1257,3301.2573,3819.9043,3158.0767,3511.5425,3081.3008,4194.561,4030.2263,3918.8176,3948.576,3998.6262,3928.311,3604.5918,4195.791,4171.0825,4357.718,4234.62,3956.7632,4563.022,3661.2822,4318.2363,4012.3306,4017.187,4212.1113,4021.0955,4285.2134,3942.5198,4358.017,4048.6484,4189.348,4166.4004,4019.6667,4033.9707,4202.9976,3628.8477,4056.956,3634.7192,4436.926,3966.491,4415.6846,4485.446,4295.9814,0.0,4954.8174,3984.005,4256.8833,4231.3237,4214.2944,4141.8467,3994.6304,4252.1357,4061.2822,4415.963,4156.87,4196.715,3901.0935,4318.878,4465.4937,4669.3833,4420.167,4522.944,3774.8804,4324.422,4565.8677,4313.047,4523.75,4229.687,4645.208,4198.4736,4471.384,4572.145,4325.418,4577.6157,4784.4463,4913.285
Bnc2,3871.6821,4006.4556,3773.4548,3205.5835,3989.7249,3885.5251,3862.9329,3882.1113,3754.933,4197.624,3452.8628,4083.9216,4434.934,3422.9211,3731.884,3658.9807,4124.3867,3822.3298,3664.524,3620.1292,3707.106,3789.956,3481.7825,3640.274,3123.9526,3898.9238,3613.7097,3520.8882,3845.2993,3642.6262,3529.2283,4054.1143,3947.9146,3931.411,3902.6943,3928.2488,4429.0728,3984.198,4061.0103,4004.0198,4327.483,3930.2732,3945.4607,3959.362,3752.572,4072.7612,3813.7603,3740.5376,3446.9954,3896.6843,3766.1926,4071.0771,3606.4333,4123.0903,4235.209,4026.4146,4004.2944,4364.731,4175.6655,4287.7974,4154.479,4460.6978,4169.675,4133.858,4096.0454,4261.0815,4480.126,4954.8174,0.0,4226.5923,4216.296,3715.09,4146.4067,4168.1133,4438.833,3910.7393,3828.6025,4224.0186,4433.256,4378.165,4381.366,4046.8242,4244.054,4416.133,4185.739,4495.4106,4387.58,4686.429,4315.969,4318.124,4196.7905,4486.4067,5054.36,4655.7886,4404.402,4212.683,4161.1113,4561.435,4515.2734,4683.1743
Col6a1,3850.5334,3854.0554,3850.4363,3730.501,3728.2415,3848.9065,3795.291,3859.7463,3812.4724,3882.2798,3560.025,3774.295,3947.109,3684.6064,3590.2808,3643.3618,3816.7483,3782.5107,3554.6006,3480.9236,3670.8252,3721.394,3956.729,3507.386,3637.3813,3560.255,3942.1064,3342.1443,3519.255,3586.7502,3300.9045,4159.8486,4023.8772,3998.6406,3954.9504,3923.894,4183.2085,4007.7837,4006.1135,4055.1414,3880.2524,4061.5366,4023.9653,4252.8623,3913.0059,4074.2756,3799.8967,4020.1929,3956.8784,3877.0117,3938.879,3975.689,3849.8628,3962.8794,4212.4185,4173.6577,4088.2703,4188.2954,4122.9927,3946.3174,4121.232,4080.9092,4469.3945,4226.2495,4146.99,4248.6377,4216.003,3984.005,4226.5923,0.0,4058.9182,4141.7056,4204.657,4078.4956,4119.904,4190.0083,4309.0684,4164.8,4124.1997,4314.6963,4373.445,4409.525,4190.6787,4253.0283,4262.522,4278.9653,4343.964,4494.8228,4437.2983,4502.728,4712.8467,4587.2793,4570.555,4477.1895,4469.9053,4545.7666,4473.518,4454.9663,4914.6104,4611.398
Fbln1,3902.7964,3836.078,3810.6719,3692.8315,3702.5027,3697.4714,3746.3982,3639.3262,3487.1934,3803.222,3346.6597,3755.9985,3669.53,3527.1033,3456.8643,3495.367,3474.9639,3643.552,3389.4856,3345.8625,3320.4805,3244.4773,3379.543,3396.9465,3626.543,3396.6016,3365.699,3416.2817,3251.735,3407.0369,3439.9167,4094.5627,3965.8755,3907.6501,4071.6267,4060.5874,4102.104,4169.6934,3953.335,4080.1624,4160.4263,4023.3792,3959.7554,4200.3677,4016.4727,4073.6472,3815.7095,4018.8364,4345.937,4107.384,4228.4854,3936.518,4077.2717,3968.5688,4100.6035,3906.0503,3969.833,4106.6694,4050.7761,4285.5015,4029.4475,4011.9507,4464.9863,4052.6245,4215.547,4244.173,4112.0127,4256.8833,4216.296,4058.9182,0.0,4262.8076,4186.815,4263.651,4090.5823,4173.6475,4274.014,4059.1057,4347.688,4256.3945,4206.0933,4291.6807,4233.0415,4359.0083,4189.743,4307.8486,4379.185,4560.7095,4390.8247,4388.2266,4641.0205,4330.9644,4673.1616,4848.8315,4586.465,4520.1606,4236.6694,4752.5786,4759.273,4529.4688
Iqgap2,3911.969,3931.254,4037.6587,3876.3728,4069.1428,3936.2314,3744.947,3826.1602,3803.2559,3736.1357,3927.6284,3653.4336,4078.712,3719.0583,3567.344,3649.749,3754.83,3998.3008,3506.1792,3534.6072,3500.9524,3938.4114,3553.496,3560.718,3633.8467,3563.1638,3837.8384,3742.8745,3428.2,3618.1655,3429.06,4130.594,4013.8008,3958.0542,4105.588,4089.8865,4161.166,4153.5234,4320.369,4229.13,4149.605,3984.9192,4005.5305,4317.478,4012.9,4187.073,4133.2227,3980.1284,4104.2705,4556.104,4441.0596,4051.8882,4023.403,3979.7231,4324.2344,4042.1553,4045.9802,4192.2163,4075.291,3899.7844,4213.446,4115.338,4335.023,4042.851,4140.3467,4116.6587,4029.1296,4231.3237,3715.09,4141.7056,4262.8076,0.0,4162.8813,4030.0247,4224.388,4175.0967,4357.3477,4332.6147,4013.4924,4287.6084,4400.9595,4234.6455,4629.8857,4398.749,4323.8813,4778.8755,4625.599,4262.497,4367.381,4532.576,4445.33,4493.466,4899.127,4401.5723,4492.0186,4478.144,4481.662,4372.3916,4731.031,4264.4663
Itm2a,3863.802,3862.308,3808.132,3796.6667,3646.4312,3808.1763,3666.8037,3672.779,3622.308,3795.4666,3685.6208,3587.225,3807.9456,3613.2703,3471.1736,3539.964,3742.8518,3803.6653,3410.3665,3411.5684,3319.6238,3426.1587,3316.4731,3310.2468,3221.8647,3437.3726,3782.0232,3280.184,3405.458,3332.7544,3287.5928,4028.8901,3873.7334,3980.8267,4076.2769,4068.7,4201.968,4144.071,4016.5222,4078.3677,3989.495,3999.3635,4057.116,4152.2686,3816.8037,3837.7449,3863.6177,3897.0183,4028.0793,4071.573,4159.7065,4141.465,4022.4614,4057.203,4290.1445,4018.8887,4072.69,4154.0127,4031.3445,3918.8037,4078.5017,4071.658,4261.2666,4096.856,4217.45,4210.5693,4101.823,4214.2944,4146.4067,4204.657,4186.815,4162.8813,0.0,4217.5723,4241.0376,4266.4194,4207.7476,4247.557,4289.442,4341.58,4358.5728,4229.0273,4441.1235,4261.92,4234.55,4570.8447,4311.5293,4499.341,4436.6313,4617.9307,4468.73,4343.71,4827.175,4754.5273,4670.125,4544.4277,4420.203,4610.428,4982.644,4904.9316
Ptk7,3915.8303,3994.615,3731.7666,3805.5115,3677.2397,3736.124,3657.0105,3710.162,3797.426,3812.642,3217.3894,3616.2588,3654.114,3770.1982,3484.428,3490.1821,3689.306,3584.986,3376.9128,3377.4521,3430.5288,3273.4248,3337.213,3293.1594,3260.5261,3426.3857,3853.4849,3376.8457,3175.4202,3377.304,3424.9526,4038.7063,3875.403,3973.2444,4070.9497,3970.9248,4292.8745,4025.2964,4127.89,3958.5852,3880.6047,4090.1306,4023.3806,4364.3013,3812.8757,4008.1382,3874.5203,3989.748,4020.4397,4171.586,4044.631,4023.133,4016.5354,4234.2354,4159.4956,3841.385,4087.7864,4159.133,4141.1562,4061.1914,4180.8657,4173.172,4669.343,4256.2188,4208.7236,4023.8596,4080.6921,4141.8467,4168.1133,4078.4956,4263.651,4030.0247,4217.5723,0.0,4398.959,4340.177,4419.075,4084.0312,4190.085,4156.716,4379.3164,4393.107,4418.5415,4317.9907,4246.333,4683.9385,4192.9927,4397.7793,4706.296,4495.1377,4538.74,4458.567,4547.2847,4813.852,4575.311,4817.3467,4619.183,4620.9536,5172.891,4662.653
Islr,3936.0034,3950.82,3836.9756,3793.8647,3966.9648,3958.072,3883.1106,3898.0923,4025.8486,4039.4778,3756.0227,4009.723,3980.7668,3550.7446,3717.1135,3762.9067,3968.1868,3942.2046,3732.5994,3505.7234,3504.1191,3636.1545,3484.9263,3696.5215,3709.358,3792.5874,3867.5005,3832.3872,3785.337,4098.6978,3791.3135,4130.3506,4030.2424,3967.1162,3925.9292,4072.4924,4346.975,4092.5447,4280.9834,4199.4194,4160.215,4231.6294,4025.691,4115.807,3938.3555,4433.383,3899.2432,3922.8826,4198.483,3957.329,4314.522,4403.208,4209.1465,3964.4175,4483.2983,4149.2974,4067.5251,4232.0166,4016.6128,4268.19,4250.4937,4396.372,4628.2783,4146.4854,4321.7324,3857.5044,4180.839,3994.6304,4438.833,4119.904,4090.5823,4224.388,4241.0376,4398.959,0.0,4876.847,4181.6846,4413.2,4186.717,4243.038,4538.657,4347.886,4508.1377,4204.784,4595.823,4396.9414,4349.2993,4366.8325,4673.7114,4450.02,4331.494,4712.254,4411.86,4740.195,4469.8994,4779.0435,4601.6914,4446.311,4468.4346,4646.396
Cd63,3787.158,3921.7625,3603.9143,3614.3386,3547.4795,3843.469,3699.0488,3688.2607,3618.1282,3883.6128,3338.6846,3671.5117,3824.5977,3289.1602,3420.9805,3526.23,3884.5,3742.0442,3417.2175,3333.135,3544.172,3253.2847,3264.8337,3339.2742,3363.8667,3460.0068,3652.0044,3426.4937,3371.708,3560.567,3522.0154,3958.8496,3992.7424,3985.9695,4023.138,3956.9749,4323.012,3827.9412,4252.1133,3944.996,3973.3972,4088.6606,4057.529,4237.0713,3846.5518,4219.609,3839.028,4027.063,4187.903,4419.9478,4171.707,4284.8086,3910.794,4143.662,3919.8228,4219.817,4121.6694,4159.2114,3959.21,4327.805,4258.5825,4086.2231,4220.978,4198.2725,4280.9136,4364.2754,4118.809,4252.1357,3910.7393,4190.0083,4173.6475,4175.0967,4266.4194,4340.177,4876.847,0.0,4228.4272,4143.359,4376.9937,4253.3564,4481.0356,4341.3745,4274.5605,4333.412,4433.2993,4665.8374,4492.159,4255.3877,4614.0684,4740.134,4724.038,4623.33,4731.987,4942.725,4604.4204,4853.3726,4776.613,4578.072,5076.5566,4814.96
Vcan,3920.7483,3803.159,3772.5564,3730.1653,3800.9429,3856.0571,3650.6812,3662.5364,3590.1274,3962.482,3477.9495,3489.221,3602.3386,3263.3462,3504.0513,3487.4272,3661.2,3556.3381,3435.4863,3344.9988,3093.8743,3413.4473,3345.0261,3326.8047,3343.145,3519.132,3659.7622,3233.443,3445.411,3333.3076,3565.7788,3923.6174,3990.1157,3982.8916,4025.1113,4063.9932,4005.065,3947.866,3869.7786,4014.3083,3822.7656,4053.123,4004.3472,4423.101,3910.331,4180.5205,3803.6116,4096.2046,4105.581,4114.953,4184.59,4132.14,3955.6733,4115.5967,4203.066,4135.53,4047.6653,4138.885,4077.2456,4253.29,4041.241,4239.1074,4463.785,4147.7476,4249.899,4163.2524,4104.1353,4061.2822,3828.6025,4309.0684,4274.014,4357.3477,4207.7476,4419.075,4181.6846,4228.4272,0.0,4277.1367,4418.607,4396.4307,4219.5464,4488.603,4610.9004,4491.4136,4428.112,4550.3525,4491.086,4391.0273,4494.0737,4604.242,4312.3477,4499.664,4574.0874,4675.8506,4686.866,4912.4883,4725.5786,4699.122,5229.3184,4616.4844
Robo1,3872.8643,3886.819,3647.9355,3913.1301,3655.7368,3810.166,3758.846,3780.1174,3687.0122,4156.2627,3374.232,3721.2754,3441.9465,3309.9106,3525.4097,3648.457,3942.4824,4099.6875,3467.6804,3395.2605,3426.5781,3456.4539,3108.3623,3365.821,3007.732,3605.296,4237.91,3621.289,3474.2002,3572.1484,3821.4143,3996.6948,3935.6255,3960.682,3888.8076,3971.6062,4146.386,3726.7383,3839.8782,3905.0251,4237.418,4051.0154,4032.8093,4087.555,3746.0464,4051.4927,3868.1401,3994.0247,4247.9995,4165.9834,4500.3047,4123.701,4229.266,3834.146,4247.039,4021.5483,4057.5757,4132.649,4120.1445,4355.1865,4181.781,4165.736,4607.294,4169.9023,4070.4275,4188.8335,4340.5396,4415.963,4224.0186,4164.8,4059.1057,4332.6147,4247.557,4084.0312,4413.2,4143.359,4277.1367,0.0,4174.288,4274.0273,4260.647,4365.5054,4514.406,4255.318,4342.611,4339.3726,4577.371,4289.5234,4713.4473,4684.1865,4313.559,4837.9663,4929.1226,4977.0493,4992.2285,4790.3984,4783.7715,4955.0444,5209.472,4879.308
Slitrk6,3862.4988,4056.8457,3482.135,4011.7932,4181.1704,3563.4688,3602.6301,3453.0286,3596.0461,3351.237,3366.04,3713.5735,3264.7002,3198.9087,3195.7922,3187.357,3724.0361,3361.1724,3095.4963,3031.3608,2925.828,2941.2588,3148.535,3032.8733,3479.21,2983.1704,3234.7944,3276.4863,2783.359,2814.3545,2832.1973,3998.6204,3917.713,3907.4014,3829.2324,3983.2966,4163.8193,3755.7393,3933.9045,4006.173,4321.37,3967.6628,3969.365,4181.699,3865.9937,4045.4211,3765.9995,4299.0566,4193.4824,4476.396,4193.742,4200.55,4187.2617,4035.5532,3940.7817,3971.4854,4008.2505,3941.5176,3999.7998,3725.781,3801.3406,3937.1223,4129.033,4081.1006,4098.4575,4177.355,3995.7969,4156.87,4433.256,4124.1997,4347.688,4013.4924,4289.442,4190.085,4186.717,4376.9937,4418.607,4174.288,0.0,4466.7563,4337.271,4402.5293,4456.541,4440.0566,4544.281,4114.3076,4409.463,4669.459,4399.9546,4639.5034,4918.664,4853.398,4853.0854,5193.075,4652.107,4998.187,4678.4043,4715.706,5374.3696,5010.5156
